scen;offshore_capex;onshore_capex;pv_capex;battery_capex;methanation_capex;offshore_opex;onshore_opex;pv_opex;methanation_opex
176;2330;1130;635,1;100;1150;46,6;33,9;13,335;59,3
177;2330;1130;635,1;100;1725;46,6;33,9;13,335;89
178;2330;1130;635,1;150;575;46,6;33,9;13,335;29,7
179;2330;1130;635,1;150;1150;46,6;33,9;13,335;59,3
180;2330;1130;635,1;150;1725;46,6;33,9;13,335;89
181;2912,5;1130;211,7;50;575;58,25;33,9;4,4457;29,7
182;2912,5;1130;211,7;50;1150;58,25;33,9;4,4457;59,3
183;2912,5;1130;211,7;50;1725;58,25;33,9;4,4457;89
184;2912,5;1130;211,7;100;575;58,25;33,9;4,4457;29,7
185;2912,5;1130;211,7;100;1150;58,25;33,9;4,4457;59,3
186;2912,5;1130;211,7;100;1725;58,25;33,9;4,4457;89
187;2912,5;1130;211,7;150;575;58,25;33,9;4,4457;29,7
188;2912,5;1130;211,7;150;1150;58,25;33,9;4,4457;59,3
189;2912,5;1130;211,7;150;1725;58,25;33,9;4,4457;89
190;2912,5;1130;317,55;50;575;58,25;33,9;8,8893;29,7
191;2912,5;1130;317,55;50;1150;58,25;33,9;8,8893;59,3
192;2912,5;1130;317,55;50;1725;58,25;33,9;8,8893;89
193;2912,5;1130;317,55;100;575;58,25;33,9;8,8893;29,7
194;2912,5;1130;317,55;100;1150;58,25;33,9;8,8893;59,3
195;2912,5;1130;317,55;100;1725;58,25;33,9;8,8893;89
196;2912,5;1130;317,55;150;575;58,25;33,9;8,8893;29,7
197;2912,5;1130;317,55;150;1150;58,25;33,9;8,8893;59,3
198;2912,5;1130;317,55;150;1725;58,25;33,9;8,8893;89
199;2912,5;1130;423,4;50;575;58,25;33,9;8,8893;29,7
200;2912,5;1130;423,4;50;1150;58,25;33,9;8,8893;59,3
201;2912,5;1130;423,4;50;1725;58,25;33,9;8,8893;89
202;2912,5;1130;423,4;100;575;58,25;33,9;8,8893;29,7
203;2912,5;1130;423,4;100;1150;58,25;33,9;8,8893;59,3
204;2912,5;1130;423,4;100;1725;58,25;33,9;8,8893;89
205;2912,5;1130;423,4;150;575;58,25;33,9;8,8893;29,7
206;2912,5;1130;423,4;150;1150;58,25;33,9;8,8893;59,3
207;2912,5;1130;423,4;150;1725;58,25;33,9;8,8893;89
208;2912,5;1130;529,25;50;575;58,25;33,9;8,8893;29,7
209;2912,5;1130;529,25;50;1150;58,25;33,9;8,8893;59,3
210;2912,5;1130;529,25;50;1725;58,25;33,9;8,8893;89
211;2912,5;1130;529,25;100;575;58,25;33,9;8,8893;29,7
212;2912,5;1130;529,25;100;1150;58,25;33,9;8,8893;59,3
213;2912,5;1130;529,25;100;1725;58,25;33,9;8,8893;89
214;2912,5;1130;529,25;150;575;58,25;33,9;8,8893;29,7
215;2912,5;1130;529,25;150;1150;58,25;33,9;8,8893;59,3
216;2912,5;1130;529,25;150;1725;58,25;33,9;8,8893;89
217;2912,5;1130;635,1;50;575;58,25;33,9;13,335;29,7
218;2912,5;1130;635,1;50;1150;58,25;33,9;13,335;59,3
219;2912,5;1130;635,1;50;1725;58,25;33,9;13,335;89
