;Annualized fixed costs (€/kW.an);;;Annuity (€/kWh.an);Annulized fixed cost (€/kW.an);scenario vatiation;;;;;CAPEX (€/kW);;;CAPEX (€/kWh);CAPEX (€/kW);OPEX (€/kW.an);;;
scen;offshore;onshore;pv;battery;methanation;offshore;onshore;pv;battery;methanation;offshore;onshore;pv;battery;methanation;offshore;onshore;pv;methanation
91;143.9889646;112.2098103;20.5668;5.316987546;71.70543182;-25%;central;-50%;-50%;-50%;1747,5;1130;211,7;50;575;34,95;33,9;4,4457;29,7
92;143.9889646;112.2098103;20.5668;5.316987546;143.4108636;-25%;central;-50%;-50%;central;1747,5;1130;211,7;50;1150;34,95;33,9;4,4457;59,3
93;143.9889646;112.2098103;20.5668;5.316987546;215.1162955;-25%;central;-50%;-50%;50%;1747,5;1130;211,7;50;1725;34,95;33,9;4,4457;89
94;143.9889646;112.2098103;20.5668;10.63397509;71.70543182;-25%;central;-50%;central;-50%;1747,5;1130;211,7;100;575;34,95;33,9;4,4457;29,7
95;143.9889646;112.2098103;20.5668;10.63397509;143.4108636;-25%;central;-50%;central;central;1747,5;1130;211,7;100;1150;34,95;33,9;4,4457;59,3
96;143.9889646;112.2098103;20.5668;10.63397509;215.1162955;-25%;central;-50%;central;50%;1747,5;1130;211,7;100;1725;34,95;33,9;4,4457;89
97;143.9889646;112.2098103;20.5668;15.95096264;71.70543182;-25%;central;-50%;50%;-50%;1747,5;1130;211,7;150;575;34,95;33,9;4,4457;29,7
98;143.9889646;112.2098103;20.5668;15.95096264;143.4108636;-25%;central;-50%;50%;central;1747,5;1130;211,7;150;1150;34,95;33,9;4,4457;59,3
99;143.9889646;112.2098103;20.5668;15.95096264;215.1162955;-25%;central;-50%;50%;50%;1747,5;1130;211,7;150;1725;34,95;33,9;4,4457;89
100;143.9889646;112.2098103;29.89909335;5.316987546;71.70543182;-25%;central;-25%;-50%;-50%;1747,5;1130;423,3;50;575;34,95;33,9;8,8893;29,7
101;143.9889646;112.2098103;29.89909335;5.316987546;143.4108636;-25%;central;-25%;-50%;central;1747,5;1130;423,3;50;1150;34,95;33,9;8,8893;59,3
102;143.9889646;112.2098103;29.89909335;5.316987546;215.1162955;-25%;central;-25%;-50%;50%;1747,5;1130;423,3;50;1725;34,95;33,9;8,8893;89
103;143.9889646;112.2098103;29.89909335;10.63397509;71.70543182;-25%;central;-25%;central;-50%;1747,5;1130;423,3;100;575;34,95;33,9;8,8893;29,7
104;143.9889646;112.2098103;29.89909335;10.63397509;143.4108636;-25%;central;-25%;central;central;1747,5;1130;423,3;100;1150;34,95;33,9;8,8893;59,3
105;143.9889646;112.2098103;29.89909335;10.63397509;215.1162955;-25%;central;-25%;central;50%;1747,5;1130;423,3;100;1725;34,95;33,9;8,8893;89
106;143.9889646;112.2098103;29.89909335;15.95096264;71.70543182;-25%;central;-25%;50%;-50%;1747,5;1130;423,3;150;575;34,95;33,9;8,8893;29,7
107;143.9889646;112.2098103;29.89909335;15.95096264;143.4108636;-25%;central;-25%;50%;central;1747,5;1130;423,3;150;1150;34,95;33,9;8,8893;59,3
108;143.9889646;112.2098103;29.89909335;15.95096264;215.1162955;-25%;central;-25%;50%;50%;1747,5;1130;423,3;150;1725;34,95;33,9;8,8893;89
109;143.9889646;112.2098103;39.23139049;5.316987546;71.70543182;-25%;central;central;-50%;-50%;1747,5;1130;423,3;50;575;34,95;33,9;8,8893;29,7
110;143.9889646;112.2098103;39.23139049;5.316987546;143.4108636;-25%;central;central;-50%;central;1747,5;1130;423,3;50;1150;34,95;33,9;8,8893;59,3
111;143.9889646;112.2098103;39.23139049;5.316987546;215.1162955;-25%;central;central;-50%;50%;1747,5;1130;423,3;50;1725;34,95;33,9;8,8893;89
112;143.9889646;112.2098103;39.23139049;10.63397509;71.70543182;-25%;central;central;central;-50%;1747,5;1130;423,3;100;575;34,95;33,9;8,8893;29,7
113;143.9889646;112.2098103;39.23139049;10.63397509;143.4108636;-25%;central;central;central;central;1747,5;1130;423,3;100;1150;34,95;33,9;8,8893;59,3
114;143.9889646;112.2098103;39.23139049;10.63397509;215.1162955;-25%;central;central;central;50%;1747,5;1130;423,3;100;1725;34,95;33,9;8,8893;89
115;143.9889646;112.2098103;39.23139049;15.95096264;71.70543182;-25%;central;central;50%;-50%;1747,5;1130;423,3;150;575;34,95;33,9;8,8893;29,7
116;143.9889646;112.2098103;39.23139049;15.95096264;143.4108636;-25%;central;central;50%;central;1747,5;1130;423,3;150;1150;34,95;33,9;8,8893;59,3
117;143.9889646;112.2098103;39.23139049;15.95096264;215.1162955;-25%;central;central;50%;50%;1747,5;1130;423,3;150;1725;34,95;33,9;8,8893;89
118;143.9889646;112.2098103;48.56368762;5.316987546;71.70543182;-25%;central;25%;-50%;-50%;1747,5;1130;423,3;50;575;34,95;33,9;8,8893;29,7
119;143.9889646;112.2098103;48.56368762;5.316987546;143.4108636;-25%;central;25%;-50%;central;1747,5;1130;423,3;50;1150;34,95;33,9;8,8893;59,3
120;143.9889646;112.2098103;48.56368762;5.316987546;215.1162955;-25%;central;25%;-50%;50%;1747,5;1130;423,3;50;1725;34,95;33,9;8,8893;89
121;143.9889646;112.2098103;48.56368762;10.63397509;71.70543182;-25%;central;25%;central;-50%;1747,5;1130;423,3;100;575;34,95;33,9;8,8893;29,7
122;143.9889646;112.2098103;48.56368762;10.63397509;143.4108636;-25%;central;25%;central;central;1747,5;1130;423,3;100;1150;34,95;33,9;8,8893;59,3
123;143.9889646;112.2098103;48.56368762;10.63397509;215.1162955;-25%;central;25%;central;50%;1747,5;1130;423,3;100;1725;34,95;33,9;8,8893;89
124;143.9889646;112.2098103;48.56368762;15.95096264;71.70543182;-25%;central;25%;50%;-50%;1747,5;1130;423,3;150;575;34,95;33,9;8,8893;29,7
125;143.9889646;112.2098103;48.56368762;15.95096264;143.4108636;-25%;central;25%;50%;central;1747,5;1130;423,3;150;1150;34,95;33,9;8,8893;59,3
126;143.9889646;112.2098103;48.56368762;15.95096264;215.1162955;-25%;central;25%;50%;50%;1747,5;1130;423,3;150;1725;34,95;33,9;8,8893;89
127;143.9889646;112.2098103;57.89598475;5.316987546;71.70543182;-25%;central;50%;-50%;-50%;1747,5;1130;635;50;575;34,95;33,9;13,335;29,7
128;143.9889646;112.2098103;57.89598475;5.316987546;143.4108636;-25%;central;50%;-50%;central;1747,5;1130;635;50;1150;34,95;33,9;13,335;59,3
129;143.9889646;112.2098103;57.89598475;5.316987546;215.1162955;-25%;central;50%;-50%;50%;1747,5;1130;635;50;1725;34,95;33,9;13,335;89
130;143.9889646;112.2098103;57.89598475;10.63397509;71.70543182;-25%;central;50%;central;-50%;1747,5;1130;635;100;575;34,95;33,9;13,335;29,7
131;143.9889646;112.2098103;57.89598475;10.63397509;143.4108636;-25%;central;50%;central;central;1747,5;1130;635;100;1150;34,95;33,9;13,335;59,3
132;143.9889646;112.2098103;57.89598475;10.63397509;215.1162955;-25%;central;50%;central;50%;1747,5;1130;635;100;1725;34,95;33,9;13,335;89
133;143.9889646;112.2098103;57.89598475;15.95096264;71.70543182;-25%;central;50%;50%;-50%;1747,5;1130;635;150;575;34,95;33,9;13,335;29,7
134;143.9889646;112.2098103;57.89598475;15.95096264;143.4108636;-25%;central;50%;50%;central;1747,5;1130;635;150;1150;34,95;33,9;13,335;59,3
135;143.9889646;112.2098103;57.89598475;15.95096264;215.1162955;-25%;central;50%;50%;50%;1747,5;1130;635;150;1725;34,95;33,9;13,335;89
136;191.3995384;112.2098103;20.5668;5.316987546;71.70543182;central;central;-50%;-50%;-50%;2330;1130;211,7;50;575;46,6;33,9;4,4457;29,7
137;191.3995384;112.2098103;20.5668;5.316987546;143.4108636;central;central;-50%;-50%;central;2330;1130;211,7;50;1150;46,6;33,9;4,4457;59,3
138;191.3995384;112.2098103;20.5668;5.316987546;215.1162955;central;central;-50%;-50%;50%;2330;1130;211,7;50;1725;46,6;33,9;4,4457;89
139;191.3995384;112.2098103;20.5668;10.63397509;71.70543182;central;central;-50%;central;-50%;2330;1130;211,7;100;575;46,6;33,9;4,4457;29,7
140;191.3995384;112.2098103;20.5668;10.63397509;143.4108636;central;central;-50%;central;central;2330;1130;211,7;100;1150;46,6;33,9;4,4457;59,3
141;191.3995384;112.2098103;20.5668;10.63397509;215.1162955;central;central;-50%;central;50%;2330;1130;211,7;100;1725;46,6;33,9;4,4457;89
142;191.3995384;112.2098103;20.5668;15.95096264;71.70543182;central;central;-50%;50%;-50%;2330;1130;211,7;150;575;46,6;33,9;4,4457;29,7
143;191.3995384;112.2098103;20.5668;15.95096264;143.4108636;central;central;-50%;50%;central;2330;1130;211,7;150;1150;46,6;33,9;4,4457;59,3
144;191.3995384;112.2098103;20.5668;15.95096264;215.1162955;central;central;-50%;50%;50%;2330;1130;211,7;150;1725;46,6;33,9;4,4457;89
145;191.3995384;112.2098103;29.89909335;5.316987546;71.70543182;central;central;-25%;-50%;-50%;2330;1130;423,3;50;575;46,6;33,9;8,8893;29,7
146;191.3995384;112.2098103;29.89909335;5.316987546;143.4108636;central;central;-25%;-50%;central;2330;1130;423,3;50;1150;46,6;33,9;8,8893;59,3
147;191.3995384;112.2098103;29.89909335;5.316987546;215.1162955;central;central;-25%;-50%;50%;2330;1130;423,3;50;1725;46,6;33,9;8,8893;89
148;191.3995384;112.2098103;29.89909335;10.63397509;71.70543182;central;central;-25%;central;-50%;2330;1130;423,3;100;575;46,6;33,9;8,8893;29,7
149;191.3995384;112.2098103;29.89909335;10.63397509;143.4108636;central;central;-25%;central;central;2330;1130;423,3;100;1150;46,6;33,9;8,8893;59,3
150;191.3995384;112.2098103;29.89909335;10.63397509;215.1162955;central;central;-25%;central;50%;2330;1130;423,3;100;1725;46,6;33,9;8,8893;89
151;191.3995384;112.2098103;29.89909335;15.95096264;71.70543182;central;central;-25%;50%;-50%;2330;1130;423,3;150;575;46,6;33,9;8,8893;29,7
152;191.3995384;112.2098103;29.89909335;15.95096264;143.4108636;central;central;-25%;50%;central;2330;1130;423,3;150;1150;46,6;33,9;8,8893;59,3
153;191.3995384;112.2098103;29.89909335;15.95096264;215.1162955;central;central;-25%;50%;50%;2330;1130;423,3;150;1725;46,6;33,9;8,8893;89
154;191.3995384;112.2098103;39.23139049;5.316987546;71.70543182;central;central;central;-50%;-50%;2330;1130;423,3;50;575;46,6;33,9;8,8893;29,7
155;191.3995384;112.2098103;39.23139049;5.316987546;143.4108636;central;central;central;-50%;central;2330;1130;423,3;50;1150;46,6;33,9;8,8893;59,3
156;191.3995384;112.2098103;39.23139049;5.316987546;215.1162955;central;central;central;-50%;50%;2330;1130;423,3;50;1725;46,6;33,9;8,8893;89
157;191.3995384;112.2098103;39.23139049;10.63397509;71.70543182;central;central;central;central;-50%;2330;1130;423,3;100;575;46,6;33,9;8,8893;29,7
158;191.3995384;112.2098103;39.23139049;10.63397509;143.4108636;central;central;central;central;central;2330;1130;423,3;100;1150;46,6;33,9;8,8893;59,3
159;191.3995384;112.2098103;39.23139049;10.63397509;215.1162955;central;central;central;central;50%;2330;1130;423,3;100;1725;46,6;33,9;8,8893;89
160;191.3995384;112.2098103;39.23139049;15.95096264;71.70543182;central;central;central;50%;-50%;2330;1130;423,3;150;575;46,6;33,9;8,8893;29,7
161;191.3995384;112.2098103;39.23139049;15.95096264;143.4108636;central;central;central;50%;central;2330;1130;423,3;150;1150;46,6;33,9;8,8893;59,3
162;191.3995384;112.2098103;39.23139049;15.95096264;215.1162955;central;central;central;50%;50%;2330;1130;423,3;150;1725;46,6;33,9;8,8893;89
163;191.3995384;112.2098103;48.56368762;5.316987546;71.70543182;central;central;25%;-50%;-50%;2330;1130;423,3;50;575;46,6;33,9;8,8893;29,7
164;191.3995384;112.2098103;48.56368762;5.316987546;143.4108636;central;central;25%;-50%;central;2330;1130;423,3;50;1150;46,6;33,9;8,8893;59,3
165;191.3995384;112.2098103;48.56368762;5.316987546;215.1162955;central;central;25%;-50%;50%;2330;1130;423,3;50;1725;46,6;33,9;8,8893;89
166;191.3995384;112.2098103;48.56368762;10.63397509;71.70543182;central;central;25%;central;-50%;2330;1130;423,3;100;575;46,6;33,9;8,8893;29,7
167;191.3995384;112.2098103;48.56368762;10.63397509;143.4108636;central;central;25%;central;central;2330;1130;423,3;100;1150;46,6;33,9;8,8893;59,3
168;191.3995384;112.2098103;48.56368762;10.63397509;215.1162955;central;central;25%;central;50%;2330;1130;423,3;100;1725;46,6;33,9;8,8893;89
169;191.3995384;112.2098103;48.56368762;15.95096264;71.70543182;central;central;25%;50%;-50%;2330;1130;423,3;150;575;46,6;33,9;8,8893;29,7
